Año,Marca,Enlace Anuncio Superbowl,Enlace Youtube,Divertido,Muestra Producto Rapido,Patriótico,Celebridad,Peligro,Animales,Usa Sexo,Duración,Costo Estimado,Vistas Youtube,Me Gusta Youtube,Espectadores TV,Vistas Youtube (millones),Me Gusta Youtube (miles)
2000,E-Trade,https://superbowl-ads.com/2000-etrade-monkey-dance/,https://www.youtube.com/watch?v=Muyq2kMDFoA,True,True,False,False,False,True,False,30,2.1,13615,84,88.47,0.01,0.08
2000,E-Trade,https://superbowl-ads.com/2000-etrade-money-out-of-the-wazoo/,https://www.youtube.com/watch?v=oftjwYmlfoA,True,True,False,False,True,False,False,30,2.1,72772,146,88.47,0.07,0.15
2000,Budweiser,https://superbowl-ads.com/2000-budweiser-whaasup-game/,https://www.youtube.com/watch?v=loimTUjV92Q,True,True,False,False,False,False,False,30,2.1,5399,11,88.47,0.01,0.01
2000,Bud Light,https://superbowl-ads.com/2000-bud-light-hold-the-door/,https://www.youtube.com/watch?v=M3IV93HwSkc,True,True,False,False,True,False,False,30,2.1,6699,8,88.47,0.01,0.01
2000,Budweiser,https://superbowl-ads.com/2000-budweiser-talking-dog/,https://www.youtube.com/watch?v=dK1tlG778J8,True,False,False,False,False,True,False,30,2.1,18972,6,88.47,0.02,0.01
2000,Bud Light,https://superbowl-ads.com/2000-bud-light-she-has-a-cat/,https://www.youtube.com/watch?v=drE6cpCB6Po,True,False,False,False,True,True,True,30,2.1,146,3,88.47,0.0,0.0
2000,Budweiser,https://superbowl-ads.com/2000-budweiser-whaasup/,https://www.youtube.com/watch?v=JJmqCKtJnxM,True,True,False,False,False,False,False,60,4.2,4047977,31000,88.47,4.05,31.0
2000,Budweiser,https://superbowl-ads.com/2000-budweiser-rex/,https://www.youtube.com/watch?v=GgXsLHifz9k,True,False,False,False,True,True,False,60,4.2,112246,163,88.47,0.11,0.16
2001,Bud Light,https://superbowl-ads.com/2001-bud-light-otto/,https://www.youtube.com/watch?v=XJEYIR-Cai4,True,True,False,False,False,True,False,30,2.1,3613,10,84.34,0.0,0.01
2001,Budweiser,https://superbowl-ads.com/2001-budweiser-what-are-you-doing/,https://www.youtube.com/watch?v=gtmJEt0w1k4,True,True,False,False,False,False,False,30,2.1,58606,212,84.34,0.06,0.21
2001,Bud Light,https://superbowl-ads.com/2001-bud-light-pencil-pusher/,https://www.youtube.com/watch?v=J89vbNUzhIE,True,False,False,False,True,False,True,30,2.1,73526,353,84.34,0.07,0.35
2001,Pepsi,https://superbowl-ads.com/2001-pepsi-subway-miracle/,https://www.youtube.com/watch?v=1nmPv4M8Ps8,True,False,False,False,False,False,True,30,2.1,1202,5,84.34,0.0,0.0
2001,E-Trade,https://superbowl-ads.com/2001-etrade-dot-com-ghost-town/,https://www.youtube.com/watch?v=ONZFkqzuMjI,False,False,False,False,True,True,False,30,2.1,105126,191,84.34,0.11,0.19
2001,Pepsi,https://superbowl-ads.com/2001-pepsi-roller-coaster/,https://www.youtube.com/watch?v=MwfL-DkL1Vg,True,True,False,False,False,False,True,30,2.1,65284,110,84.34,0.07,0.11
2001,Bud Light,https://superbowl-ads.com/2001-bud-light-cedric-the-entertainer/,https://www.youtube.com/watch?v=h-HHbtwX5vY,True,False,False,True,False,False,True,30,2.1,1047,3,84.34,0.0,0.0
2001,Doritos,https://superbowl-ads.com/2001-doritos-ali-landry/,https://www.youtube.com/watch?v=xbrvsJZSxok,True,True,False,True,False,False,True,30,2.1,4183,15,84.34,0.0,0.02
2001,NFL,https://superbowl-ads.com/2001-nfl-perfect-day/,,False,False,False,True,False,False,False,60,4.2,0,0,84.34,0.0,0.0
2001,Pepsi,https://superbowl-ads.com/2001-pepsi-bob-dole/,https://www.youtube.com/watch?v=6h7wifUL8mk,True,False,True,True,False,True,True,45,3.15,12595,13,84.34,0.01,0.01
